,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
81349,222511,tt0714471,The Sweeney,S04E13 Victims,1978,50,7.9,100
101608,310102,tt0824101,The Red Green Show,S08E07 Free Apricots,1998,23,6.9,11
61007,162480,tt0653533,"Murder, She Wrote",S01E04 It's a Dog's Life,1984,47,7.5,613
135169,734226,tt10651340,Slam Dunk,S01E54 King Kong's Younger Brother,1995,23,9.1,141
29957,73279,tt0563040,Doctor at Sea,S01E04 The Senior Officer's Perks,1974,26,7.9,7
104642,321551,tt0841343,MASK,S01E41 Stop Motion,1985,22,4.4,25
20364,45377,tt0534747,CSI: Crime Scene Investigation,S01E15 Table Stakes,2001,46,7.6,885
105569,326489,tt0849653,Polizeiinspektion 1,S04E07 Die Trickdiebin,1981,24,7.6,7
88587,254484,tt0747070,"What's New, Scooby-Doo?",S01E04 Big Scare in the Big Easy,2002,21,7.5,221
52113,140162,tt0630995,The Loretta Young Show,S02E18 The Girl Who Knew,1955,30,7.4,9
61091,162564,tt0653618,"Murder, She Wrote",S12E17 Something Foul in Flappieville,1996,47,6.8,247
9138,17965,tt0506610,Adventures of Superman,S01E19 The Evil Three,1953,30,7.6,183
43648,111104,tt0601570,Highway to Heaven,S05E13 Merry Christmas from Grandpa,1989,60,8.4,106
45724,119417,tt0609939,Ich heirate eine Familie...,S01E01 1 + 1 = 5,1983,89,7.6,28
42429,108044,tt0598486,Hawkins,S01E06 Murder on the Thirteenth Floor,1974,73,7.7,33
123788,443929,tt1001079,The Challenge,S10E02 The Inferno II: Juice It Up,2005,21,7.8,21
87731,251958,tt0744368,Water Rats,S02E15 Stolen Time,1997,44,7.1,12
70137,191546,tt0683171,Rawhide,S07E23 Retreat,1965,60,8.0,73
74160,203049,tt0694756,Saturday Night Live,S24E17 John Goodman/Tom Petty & The Heartbreakers,1999,90,5.8,80
148381,1041892,tt11318064,Fire Force,S01E22 A Brother's Determination,2019,24,8.7,259
41416,106600,tt0597017,The Hardy Boys/Nancy Drew Mysteries,S03E06 Scorpion's Sting,1978,60,7.2,26
